7p	29.09.1988	28.09.1989	719857	4390464	-9999	-220	1								
7q	29.09.1988	28.09.1989	719821	4390288	-9999	-200	1								
7r	29.09.1988	28.09.1989	719760	4389867	-9999	-202	1								
7s	29.09.1988	28.09.1989	719631	4389425	-9999	-224	1								
7t	29.09.1988	28.09.1989	719535	4389299	-9999	-162	1								
7u	29.09.1988	28.09.1989	719461	4389063	-9999	-177	1								
7v	29.09.1988	28.09.1989	719355	4388859	-9999	-189	1								
7w	29.09.1988	28.09.1989	719359	4388859	-9999	-199	1								
7x	29.09.1988	28.09.1989	719352	4388852	-9999	-171	1								
8a	29.09.1988	28.09.1989	719653	4386339	-9999	84	1								
8c	29.09.1988	28.09.1989	720061	4386273	-9999	84	1								
8d	29.09.1988	28.09.1989	720203	4386249	-9999	53	1								
8f	29.09.1988	28.09.1989	720637	4386149	-9999	60	1								
8g	29.09.1988	28.09.1989	720831	4386094	-9999	46	1								
8h	29.09.1988	28.09.1989	721055	4386042	-9999	41	1								
9a	29.09.1988	28.09.1989	719468	4386185	-9999	88	1								
9b	29.09.1988	28.09.1989	719469	4386078	-9999	87	1								
9c	29.09.1988	28.09.1989	719471	4385970	-9999	116	1								
9d	29.09.1988	28.09.1989	719453	4385891	-9999	128	1								
10a	29.09.1988	28.09.1989	719387	4386472	-9999	72	1								
10b	29.09.1988	28.09.1989	719347	4386530	-9999	92	1								
10d	29.09.1988	28.09.1989	719308	4386578	-9999	106	1								
10e	29.09.1988	28.09.1989	719267	4386646	-9999	93	1								
11b	29.09.1988	28.09.1989	719318	4389414	-9999	-135	1								
11c	29.09.1988	28.09.1989	719183	4389315	-9999	-164	1								
11d	29.09.1988	28.09.1989	719039	4389206	-9999	-119	1								
11f	29.09.1988	28.09.1989	718758	4389047	-9999	-148	1								
11g	29.09.1988	28.09.1989	718544	4388941	-9999	-94	1								
11h	29.09.1988	28.09.1989	718386	4388900	-9999	-120	1								
11i	29.09.1988	28.09.1989	718078	4388799	-9999	-69	1								
11j	29.09.1988	28.09.1989	717870	4388783	-9999	-79	1								
11k	29.09.1988	28.09.1989	717733	4388781	-9999	-83	1								
11l	29.09.1988	28.09.1989	717623	4388755	-9999	-66	1								
11m	29.09.1988	28.09.1989	717492	4388727	-9999	-69	1								
11n	29.09.1988	28.09.1989	717304	4388696	-9999	-55	1								
11o	29.09.1988	28.09.1989	717232	4388685	-9999	-77	1								
11p	29.09.1988	28.09.1989	717038	4388673	-9999	13	1								
11q	29.09.1988	28.09.1989	716968	4388688	-9999	74	1								
11r	29.09.1988	28.09.1989	716870	4388647	-9999	36	1								
11s	29.09.1988	28.09.1989	716752	4388597	-9999	80	1								
11t	29.09.1988	28.09.1989	716507	4388562	-9999	75	1								
11u	29.09.1988	28.09.1989	716358	4388560	-9999	83	1								
11v	29.09.1988	28.09.1989	716171	4388509	-9999	77	1								
11w	29.09.1988	28.09.1989	715655	4388493	-9999	84	1								
11x	29.09.1988	28.09.1989	715178	4388452	-9999	57	1								
11y	29.09.1988	28.09.1989	714998	4388430	-9999	84	1								
11z	29.09.1988	28.09.1989	714829	4388177	-9999	113	1								
